n,algorithm,solution_found,nodes_explored,time_seconds
8,BT_FIRST,False,0,0.0
8,BT_MCV,False,0,0.0
8,BT_LCV,False,0,0.0
8,BT_MCV_HYBRID,True,27,0.00016679200052749366
16,BT_FIRST,False,0,0.0
16,BT_MCV,False,0,0.0
16,BT_LCV,False,0,0.0
16,BT_MCV_HYBRID,True,307,0.001600750008947216
24,BT_FIRST,False,0,0.0
24,BT_MCV,False,0,0.0
24,BT_LCV,False,0,0.0
24,BT_MCV_HYBRID,True,55,0.0014887500001350418
40,BT_FIRST,False,0,0.0
40,BT_MCV,False,0,0.0
40,BT_LCV,False,0,0.0
40,BT_MCV_HYBRID,True,40,0.00550216699775774
80,BT_FIRST,False,0,0.0
80,BT_MCV,False,0,0.0
80,BT_LCV,False,0,0.0
80,BT_MCV_HYBRID,True,80,0.04272595800284762
120,BT_FIRST,False,0,0.0
120,BT_MCV,False,0,0.0
120,BT_LCV,False,0,0.0
120,BT_MCV_HYBRID,True,120,0.14223562501138076
