n,run_id,algorithm,success,timeout,steps,time_seconds,evals,best_conflicts
8,1,SA,True,False,627,0.002959457997349091,628,0
8,2,SA,True,False,1653,0.013387833008891903,1654,0
8,3,SA,True,False,1001,0.0089728750026552,1002,0
8,4,SA,True,False,2998,0.020674750005127862,2999,0
8,5,SA,True,False,563,0.0034544169902801514,564,0
8,6,SA,True,False,435,0.0023148749896790832,436,0
8,7,SA,True,False,1040,0.008261417009634897,1041,0
8,8,SA,True,False,333,0.001566874998388812,334,0
8,9,SA,True,False,512,0.0024534169933758676,513,0
8,10,SA,True,False,661,0.006186416998389177,662,0
8,11,SA,True,False,712,0.006020291999448091,713,0
8,12,SA,True,False,537,0.0024725420080358163,538,0
8,13,SA,True,False,511,0.002427584011456929,512,0
8,14,SA,True,False,556,0.00265666599443648,557,0
8,15,SA,True,False,361,0.003654082989669405,362,0
8,16,SA,True,False,421,0.0019138749921694398,422,0
8,17,SA,True,False,413,0.0019623749976744875,414,0
8,18,SA,True,False,354,0.001675624997005798,355,0
8,19,SA,True,False,445,0.0020749169925693423,446,0
8,20,SA,True,False,462,0.0026032919995486736,463,0
16,1,SA,False,False,5200,0.05644120799843222,5201,1
16,2,SA,False,False,5200,0.06494874999043532,5201,1
16,3,SA,True,False,5057,0.05921866701100953,5058,0
16,4,SA,False,False,5200,0.06878004199825227,5201,1
16,5,SA,True,False,2932,0.03104662500845734,2933,0
16,6,SA,False,False,5200,0.060775124991778284,5201,1
16,7,SA,True,False,992,0.012330500001553446,993,0
16,8,SA,True,False,1374,0.014679958010674454,1375,0
16,9,SA,True,False,2068,0.020887874998152256,2069,0
16,10,SA,True,False,1692,0.019312457996420562,1693,0
16,11,SA,True,False,2073,0.027754125010687858,2074,0
16,12,SA,True,False,1166,0.009576750002452172,1167,0
16,13,SA,False,False,5200,0.060507249989314005,5201,1
16,14,SA,True,False,2381,0.019834541992167942,2382,0
16,15,SA,True,False,4804,0.0451858330052346,4805,0
16,16,SA,True,False,1076,0.012110707990359515,1077,0
16,17,SA,True,False,2724,0.027670209005009383,2725,0
16,18,SA,True,False,4508,0.04039541698875837,4509,0
16,19,SA,True,False,1539,0.01668929200968705,1540,0
16,20,SA,False,False,5200,0.046215416994527914,5201,1
24,1,SA,True,False,1123,0.015962165998644195,1124,0
24,2,SA,True,False,3780,0.06085033300041687,3781,0
24,3,SA,False,False,6800,0.10687750000215601,6801,1
24,4,SA,False,False,6800,0.10692616700544022,6801,1
24,5,SA,True,False,3233,0.05413804200361483,3234,0
24,6,SA,True,False,961,0.015235750004649162,962,0
24,7,SA,True,False,5100,0.08122241600358393,5101,0
24,8,SA,True,False,4328,0.07482304100994952,4329,0
24,9,SA,False,False,6800,0.11840283300261945,6801,1
24,10,SA,True,False,3391,0.05748412500543054,3392,0
24,11,SA,True,False,2926,0.05679283299832605,2927,0
24,12,SA,False,False,6800,0.11013312499562744,6801,1
24,13,SA,True,False,2378,0.03912574998685159,2379,0
24,14,SA,False,False,6800,0.09619637500145473,6801,1
24,15,SA,True,False,1753,0.020150500000454485,1754,0
24,16,SA,True,False,3525,0.04938475000381004,3526,0
24,17,SA,True,False,4507,0.05814333399757743,4508,0
24,18,SA,True,False,6273,0.08324424999591429,6274,0
24,19,SA,True,False,5442,0.07846416700340342,5443,0
24,20,SA,True,False,4808,0.06890591699630022,4809,0
40,1,SA,True,False,9117,0.23432612500619143,9118,0
40,2,SA,False,False,10000,0.23874400000204332,10001,1
40,3,SA,False,False,10000,0.2369217910018051,10001,1
40,4,SA,False,False,10000,0.261253292002948,10001,2
40,5,SA,True,False,8198,0.21194129200011957,8199,0
40,6,SA,True,False,8844,0.21974629099713638,8845,0
40,7,SA,False,False,10000,0.2514611249935115,10001,1
40,8,SA,False,False,10000,0.25296945800073445,10001,1
40,9,SA,False,False,10000,0.24797229099203832,10001,2
40,10,SA,False,False,10000,0.2756046249996871,10001,1
40,11,SA,False,False,10000,0.23411891699652188,10001,1
40,12,SA,False,False,10000,0.2623216249921825,10001,1
40,13,SA,False,False,10000,0.2429807919979794,10001,1
40,14,SA,True,False,6123,0.15113437500258442,6124,0
40,15,SA,False,False,10000,0.24650383301195689,10001,1
40,16,SA,False,False,10000,0.24378016601258423,10001,1
40,17,SA,False,False,10000,0.26576533299521543,10001,1
40,18,SA,False,False,10000,0.24176183399686124,10001,1
40,19,SA,True,False,8954,0.19033504200342577,8955,0
40,20,SA,False,False,10000,0.1776312910078559,10001,1
60,1,SA,False,False,14000,0.5221896250004647,14001,1
60,2,SA,False,False,14000,0.5340939169982448,14001,1
60,3,SA,True,False,8437,0.30994887500128243,8438,0
60,4,SA,False,False,14000,0.5270507079985691,14001,1
60,5,SA,False,False,14000,0.5214887920010369,14001,1
60,6,SA,False,False,14000,0.5025900839973474,14001,1
60,7,SA,False,False,14000,0.5084611670026788,14001,1
60,8,SA,False,False,14000,0.5013760839938186,14001,2
60,9,SA,False,False,14000,0.5123295420053182,14001,1
60,10,SA,True,False,12747,0.48667787500016857,12748,0
60,11,SA,False,False,14000,0.51081554099801,14001,2
60,12,SA,False,False,14000,0.5087579160026507,14001,1
60,13,SA,False,False,14000,0.4959908749879105,14001,1
60,14,SA,False,False,14000,0.4970114169991575,14001,2
60,15,SA,False,False,14000,0.522574499991606,14001,1
60,16,SA,False,False,14000,0.5081679160066415,14001,2
60,17,SA,False,False,14000,0.5121678750001593,14001,2
60,18,SA,False,False,14000,0.5032964999991236,14001,1
60,19,SA,False,False,14000,0.42633720800222363,14001,2
60,20,SA,False,False,14000,0.3469317499984754,14001,2
80,1,SA,False,False,18000,0.8637085410009604,18001,1
80,2,SA,False,False,18000,0.8633809169987217,18001,1
80,3,SA,False,False,18000,0.8837246670009336,18001,2
80,4,SA,False,False,18000,0.8431855419912608,18001,3
80,5,SA,False,False,18000,0.8803481670038309,18001,2
80,6,SA,False,False,18000,0.8733844999951543,18001,3
80,7,SA,False,False,18000,0.8883417500037467,18001,1
80,8,SA,False,False,18000,0.8694993749959394,18001,1
80,9,SA,False,False,18000,0.8412319580093026,18001,1
80,10,SA,False,False,18000,0.8824133750022156,18001,2
80,11,SA,False,False,18000,0.8745066669944208,18001,2
80,12,SA,False,False,18000,0.878592209002818,18001,2
80,13,SA,False,False,18000,0.8616128749999916,18001,1
80,14,SA,False,False,18000,0.8587458340043668,18001,1
80,15,SA,False,False,18000,0.8457977079960983,18001,1
80,16,SA,False,False,18000,0.8727329579996876,18001,1
80,17,SA,False,False,18000,0.840350333994138,18001,1
80,18,SA,False,False,18000,0.8615459580032621,18001,1
80,19,SA,False,False,18000,0.5634774170030141,18001,1
80,20,SA,False,False,18000,0.5633736669988139,18001,1
